antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,margen_estimado
frozenset({'chicle menta'}),frozenset({'pan lactal integral'}),0.041666666666666664,0.03333333333333333,0.016666666666666666,0.4,12.0,1.0,0.015277777777777777,1.6111111111111112,0.9565217391304348,0.2857142857142857,0.37931034482758624,0.45,9444.4
frozenset({'chocolate amargo 100g'}),frozenset({'yerba mate intensa 1kg'}),0.041666666666666664,0.041666666666666664,0.016666666666666666,0.4,9.600000000000001,1.0,0.014930555555555555,1.5972222222222223,0.9347826086956522,0.25,0.3739130434782609,0.4,13572.3
frozenset({'yerba mate intensa 1kg'}),frozenset({'chocolate amargo 100g'}),0.041666666666666664,0.041666666666666664,0.016666666666666666,0.4,9.600000000000001,1.0,0.014930555555555555,1.5972222222222223,0.9347826086956522,0.25,0.3739130434782609,0.4,13572.3
frozenset({'medialunas de manteca'}),frozenset({'galletitas chocolate'}),0.041666666666666664,0.041666666666666664,0.016666666666666666,0.4,9.600000000000001,1.0,0.014930555555555555,1.5972222222222223,0.9347826086956522,0.25,0.3739130434782609,0.4,9878.925
frozenset({'galletitas chocolate'}),frozenset({'medialunas de manteca'}),0.041666666666666664,0.041666666666666664,0.016666666666666666,0.4,9.600000000000001,1.0,0.014930555555555555,1.5972222222222223,0.9347826086956522,0.25,0.3739130434782609,0.4,9878.925
frozenset({'pan lactal integral'}),frozenset({'salsa de tomate 500g'}),0.03333333333333333,0.058333333333333334,0.016666666666666666,0.5,8.571428571428571,1.0,0.014722222222222222,1.8833333333333333,0.9137931034482758,0.22222222222222218,0.4690265486725664,0.39285714285714285,8149.049999999999
frozenset({'té verde 20 saquitos'}),frozenset({'caramelos masticables'}),0.05,0.041666666666666664,0.016666666666666666,0.3333333333333333,8.0,1.0,0.014583333333333334,1.4375,0.9210526315789475,0.22222222222222218,0.3043478260869565,0.3666666666666667,15202.949999999997
frozenset({'caramelos masticables'}),frozenset({'té verde 20 saquitos'}),0.041666666666666664,0.05,0.016666666666666666,0.4,8.0,1.0,0.014583333333333334,1.5833333333333333,0.9130434782608696,0.22222222222222218,0.368421052631579,0.3666666666666667,15202.949999999997
frozenset({'helado vainilla 1l'}),frozenset({'hamburguesas congeladas x4'}),0.041666666666666664,0.05,0.016666666666666666,0.4,8.0,1.0,0.014583333333333334,1.5833333333333333,0.9130434782608696,0.22222222222222218,0.368421052631579,0.3666666666666667,11958.799999999997
frozenset({'hamburguesas congeladas x4'}),frozenset({'helado vainilla 1l'}),0.05,0.041666666666666664,0.016666666666666666,0.3333333333333333,8.0,1.0,0.014583333333333334,1.4375,0.9210526315789475,0.22222222222222218,0.3043478260869565,0.3666666666666667,11958.799999999997
frozenset({'fernet 750ml'}),frozenset({'hamburguesas congeladas x4'}),0.041666666666666664,0.05,0.016666666666666666,0.4,8.0,1.0,0.014583333333333334,1.5833333333333333,0.9130434782608696,0.22222222222222218,0.368421052631579,0.3666666666666667,9674.874999999998
frozenset({'hamburguesas congeladas x4'}),frozenset({'fernet 750ml'}),0.05,0.041666666666666664,0.016666666666666666,0.3333333333333333,8.0,1.0,0.014583333333333334,1.4375,0.9210526315789475,0.22222222222222218,0.3043478260869565,0.3666666666666667,9674.874999999998
frozenset({'aceite de girasol 1l'}),frozenset({'helado vainilla 1l'}),0.05,0.041666666666666664,0.016666666666666666,0.3333333333333333,8.0,1.0,0.014583333333333334,1.4375,0.9210526315789475,0.22222222222222218,0.3043478260869565,0.3666666666666667,6054.475
frozenset({'helado vainilla 1l'}),frozenset({'aceite de girasol 1l'}),0.041666666666666664,0.05,0.016666666666666666,0.4,8.0,1.0,0.014583333333333334,1.5833333333333333,0.9130434782608696,0.22222222222222218,0.368421052631579,0.3666666666666667,6054.475
frozenset({'papas fritas clásicas 100g'}),frozenset({'galletitas chocolate'}),0.05,0.041666666666666664,0.016666666666666666,0.3333333333333333,8.0,1.0,0.014583333333333334,1.4375,0.9210526315789475,0.22222222222222218,0.3043478260869565,0.3666666666666667,4180.05
frozenset({'galletitas chocolate'}),frozenset({'papas fritas clásicas 100g'}),0.041666666666666664,0.05,0.016666666666666666,0.4,8.0,1.0,0.014583333333333334,1.5833333333333333,0.9130434782608696,0.22222222222222218,0.368421052631579,0.3666666666666667,4180.05
frozenset({'whisky 750ml'}),frozenset({'queso rallado 150g'}),0.03333333333333333,0.075,0.016666666666666666,0.5,6.666666666666667,1.0,0.014166666666666666,1.85,0.8793103448275862,0.1818181818181818,0.45945945945945943,0.3611111111111111,10507.175
frozenset({'aceite de girasol 1l'}),frozenset({'desengrasante 500ml'}),0.05,0.05,0.016666666666666666,0.3333333333333333,6.666666666666666,1.0,0.014166666666666666,1.4249999999999998,0.8947368421052633,0.19999999999999998,0.2982456140350877,0.3333333333333333,12357.449999999999
frozenset({'desengrasante 500ml'}),frozenset({'aceite de girasol 1l'}),0.05,0.05,0.016666666666666666,0.3333333333333333,6.666666666666666,1.0,0.014166666666666666,1.4249999999999998,0.8947368421052633,0.19999999999999998,0.2982456140350877,0.3333333333333333,12357.449999999999
frozenset({'dulce de leche 400g'}),frozenset({'mermelada de frutilla 400g'}),0.05,0.058333333333333334,0.016666666666666666,0.3333333333333333,5.7142857142857135,1.0,0.01375,1.4124999999999999,0.8684210526315791,0.1818181818181818,0.29203539823008845,0.30952380952380953,13775.124999999996
frozenset({'té verde 20 saquitos'}),frozenset({'salsa de tomate 500g'}),0.05,0.058333333333333334,0.016666666666666666,0.3333333333333333,5.7142857142857135,1.0,0.01375,1.4124999999999999,0.8684210526315791,0.1818181818181818,0.29203539823008845,0.30952380952380953,9051.175
frozenset({'energética nitro 500ml'}),frozenset({'lavandina 1l'}),0.05,0.058333333333333334,0.016666666666666666,0.3333333333333333,5.7142857142857135,1.0,0.01375,1.4124999999999999,0.8684210526315791,0.1818181818181818,0.29203539823008845,0.30952380952380953,9036.474999999999
